effective_date,action,ticker,new_ticker,note,source
2010-12-20,add,AKAM,,annual reconstitution 2010,PR
2010-12-20,add,CTRP,,annual reconstitution 2010,PR
2010-12-20,add,DLTR,,annual reconstitution 2010,PR
2010-12-20,add,FFIV,,annual reconstitution 2010,PR
2010-12-20,add,MU,,annual reconstitution 2010,PR
2010-12-20,add,NFLX,,annual reconstitution 2010,PR
2010-12-20,add,WFM,,annual reconstitution 2010,PR
2010-12-20,remove,CTAS,,annual reconstitution 2010,PR
2010-12-20,remove,DISH,,annual reconstitution 2010,PR
2010-12-20,remove,FWLT,,annual reconstitution 2010,PR
2010-12-20,remove,HOLX,,annual reconstitution 2010,PR
2010-12-20,remove,JBHT,,annual reconstitution 2010,PR
2010-12-20,remove,LOGI,,annual reconstitution 2010,PR
2010-12-20,remove,PDCO,,annual reconstitution 2010,PR
2011-04-04,add,ALXN,,replaced GENZ (Sanofi acquired Genzyme),PR
2011-04-04,remove,GENZ,,acquired by Sanofi,PR
2011-05-27,add,GMCR,,replaced MICC,secondary
2011-05-27,remove,MICC,,Millicom voluntary Nasdaq delisting,secondary
2011-07-15,add,SIRI,,replaced CEPH,secondary
2011-07-15,remove,CEPH,,acquired by Teva,secondary
2011-12-06,add,PRGO,,replaced JOYG,secondary
2011-12-06,remove,JOYG,,Joy Global moved to NYSE,secondary
2011-12-19,add,AVGO,,annual reconstitution 2011,PR
2011-12-19,add,FOSL,,annual reconstitution 2011,PR
2011-12-19,add,HANS,,annual reconstitution 2011 (Hansen Natural; later MNST),PR
2011-12-19,add,NUAN,,annual reconstitution 2011,PR
2011-12-19,add,GOLD,,annual reconstitution 2011 (Randgold Resources ADR),PR
2011-12-19,remove,FLIR,,annual reconstitution 2011,PR
2011-12-19,remove,ILMN,,annual reconstitution 2011,PR
2011-12-19,remove,NIHD,,annual reconstitution 2011,PR
2011-12-19,remove,QGEN,,annual reconstitution 2011,PR
2011-12-19,remove,URBN,,annual reconstitution 2011,PR
2012-01-05,rename,HANS,MNST,Hansen Natural renamed Monster Beverage (approx date),secondary
2012-04-23,add,TXN,,replaced FSLR (TI moved listing to Nasdaq),PR
2012-04-23,remove,FSLR,,replaced by TXN,PR
2012-05-30,add,VIAB,,replaced TEVA (Viacom; Teva moved listing to NYSE),PR
2012-05-30,remove,TEVA,,moved listing to NYSE; replaced by VIAB,PR
2012-07-23,add,KFT,,replaced CTRP (Kraft Foods Inc),PR
2012-07-23,remove,CTRP,,replaced by KFT,PR
2012-10-01,rename,KFT,MDLZ,Kraft Foods Inc renamed Mondelez at KRFT spinoff,secondary
2012-12-12,add,FB,,replaced INFY (Facebook; Infosys moved listing to NYSE),PR
2012-12-12,remove,INFY,,moved listing to NYSE; replaced by FB,PR
2012-12-24,add,ADI,,annual reconstitution 2012,PR
2012-12-24,add,CTRX,,annual reconstitution 2012 (Catamaran),PR
2012-12-24,add,DISCA,,annual reconstitution 2012 (Discovery Communications),PR
2012-12-24,add,EQIX,,annual reconstitution 2012,PR
2012-12-24,add,LBTYA,,annual reconstitution 2012 (Liberty Global),PR
2012-12-24,add,LMCA,,annual reconstitution 2012 (old Liberty Media),PR
2012-12-24,add,REGN,,annual reconstitution 2012,PR
2012-12-24,add,SBAC,,annual reconstitution 2012,PR
2012-12-24,add,VRSK,,annual reconstitution 2012,PR
2012-12-24,add,WDC,,annual reconstitution 2012,PR
2012-12-24,remove,APOL,,annual reconstitution 2012,PR
2012-12-24,remove,EA,,annual reconstitution 2012,PR
2012-12-24,remove,FLEX,,annual reconstitution 2012,PR
2012-12-24,remove,GMCR,,annual reconstitution 2012,PR
2012-12-24,remove,LRCX,,annual reconstitution 2012,PR
2012-12-24,remove,MRVL,,annual reconstitution 2012,PR
2012-12-24,remove,NFLX,,annual reconstitution 2012,PR
2012-12-24,remove,RIMM,,annual reconstitution 2012,PR
2012-12-24,remove,VRSN,,annual reconstitution 2012,PR
2012-12-24,remove,WCRX,,annual reconstitution 2012,PR
2013-01-11,rename,LMCA,STRZA,old Liberty Media renamed Starz; new Liberty Media spun off,secondary
2013-03-18,add,KRFT,,replaced STRZA (Kraft Foods Group),secondary
2013-03-18,remove,STRZA,,replaced by KRFT,secondary
2013-06-05,add,LMCA,,new Liberty Media replaced VMED,PR
2013-06-05,remove,VMED,,Virgin Media acquired by Liberty Global,PR
2013-06-06,add,NFLX,,replaced PRGO,PR
2013-06-06,remove,PRGO,,Perrigo left Nasdaq (Elan deal / NYSE),PR
2013-06-28,rename,NWSA,FOXA,News Corp split; 21st Century Fox kept membership (new News Corp not added),secondary
2013-07-15,add,TSLA,,replaced ORCL,secondary
2013-07-15,remove,ORCL,,Oracle moved to NYSE,secondary
2013-07-25,add,CHTR,,replaced BMC,PR
2013-07-25,remove,BMC,,BMC Software going private,PR
2013-08-22,add,GMCR,,replaced LIFE,PR
2013-08-22,remove,LIFE,,Life Technologies acquired by Thermo Fisher,PR
2013-10-29,add,VIP,,replaced DELL (VimpelCom),secondary
2013-10-29,remove,DELL,,Dell went private,secondary
2013-11-18,add,MAR,,replaced GOLD,PR
2013-11-18,remove,GOLD,,Randgold Resources removed,PR
2013-12-23,add,DISH,,annual reconstitution 2013,PR
2013-12-23,add,ILMN,,annual reconstitution 2013,PR
2013-12-23,add,NXPI,,annual reconstitution 2013,PR
2013-12-23,add,TSCO,,annual reconstitution 2013,PR
2013-12-23,add,TRIP,,annual reconstitution 2013,PR
2013-12-23,remove,XRAY,,annual reconstitution 2013,PR
2013-12-23,remove,FOSL,,annual reconstitution 2013,PR
2013-12-23,remove,MCHP,,annual reconstitution 2013,PR
2013-12-23,remove,NUAN,,annual reconstitution 2013,PR
2013-12-23,remove,SHLD,,annual reconstitution 2013,PR
2014-04-03,rename,GOOG,GOOGL,Google class split; class A became GOOGL (primary class tracked),secondary
2014-12-22,add,AAL,,annual reconstitution 2014,PR
2014-12-22,add,EA,,annual reconstitution 2014,PR
2014-12-22,add,LRCX,,annual reconstitution 2014,PR
2014-12-22,remove,EXPE,,annual reconstitution 2014,PR
2014-12-22,remove,FFIV,,annual reconstitution 2014,PR
2014-12-22,remove,MXIM,,annual reconstitution 2014,PR
2015-03-23,add,WBA,,replaced EQIX,PR
2015-03-23,remove,EQIX,,REIT conversion,PR
2015-07-06,rename,KRFT,KHC,Kraft-Heinz merger; Kraft Heinz listed on Nasdaq,secondary
2015-07-27,add,BMRN,,replaced DTV,secondary
2015-07-27,remove,DTV,,DirecTV acquired by AT&T,secondary
2015-07-29,add,JD,,replaced CTRX,PR
2015-07-29,remove,CTRX,,Catamaran acquired by UnitedHealth (removed 2015-07-24),PR
2015-08-03,add,SWKS,,replaced SIAL,secondary
2015-08-03,remove,SIAL,,Sigma-Aldrich acquired by Merck KGaA (removed 2015-07-31),secondary
2015-10-07,add,INCY,,replaced ALTR,secondary
2015-10-07,remove,ALTR,,Altera acquired by Intel,secondary
2015-11-11,add,PYPL,,replaced BRCM,PR
2015-11-11,remove,BRCM,,Broadcom Corp pending Avago acquisition,PR
2015-12-21,add,CTRP,,annual reconstitution 2015,PR
2015-12-21,add,ENDP,,annual reconstitution 2015,PR
2015-12-21,add,EXPE,,annual reconstitution 2015,PR
2015-12-21,add,MXIM,,annual reconstitution 2015,PR
2015-12-21,add,NCLH,,annual reconstitution 2015,PR
2015-12-21,add,TMUS,,annual reconstitution 2015,PR
2015-12-21,add,ULTA,,annual reconstitution 2015,PR
2015-12-21,remove,CHRW,,annual reconstitution 2015,PR
2015-12-21,remove,EXPD,,annual reconstitution 2015,PR
2015-12-21,remove,GRMN,,annual reconstitution 2015,PR
2015-12-21,remove,GMCR,,annual reconstitution 2015 (JAB acquisition pending),PR
2015-12-21,remove,SPLS,,annual reconstitution 2015,PR
2015-12-21,remove,VIP,,annual reconstitution 2015,PR
2015-12-21,remove,WYNN,,annual reconstitution 2015,PR
2016-02-22,add,CSX,,replaced KLAC,PR
2016-02-22,remove,KLAC,,pending Lam Research merger (later abandoned),PR
2016-03-16,add,NTES,,replaced SNDK,secondary
2016-03-16,remove,SNDK,,SanDisk acquired by Western Digital,secondary
2016-06-20,add,XRAY,,DENTSPLY SIRONA replaced Liberty Media share classes,PR
2016-06-20,remove,LMCA,,Liberty Media all classes removed (LMCA/LMCK/BATRA/BATRK),PR
2016-07-18,add,MCHP,,replaced ENDP,secondary
2016-07-18,remove,ENDP,,Endo International removed,secondary
2016-10-19,add,SHPG,,replaced LLTC,PR
2016-10-19,remove,LLTC,,Linear Technology pending ADI acquisition,PR
2016-12-19,add,CTAS,,annual reconstitution 2016,PR
2016-12-19,add,HAS,,annual reconstitution 2016,PR
2016-12-19,add,HOLX,,annual reconstitution 2016,PR
2016-12-19,add,KLAC,,annual reconstitution 2016 (re-added),PR
2016-12-19,remove,BBBY,,annual reconstitution 2016,PR
2016-12-19,remove,NTAP,,annual reconstitution 2016,PR
2016-12-19,remove,SRCL,,annual reconstitution 2016,PR
2016-12-19,remove,WFM,,annual reconstitution 2016,PR
2017-02-07,add,JBHT,,replaced NXPI,PR
2017-02-07,remove,NXPI,,pending Qualcomm acquisition (later abandoned),PR
2017-03-20,add,IDXX,,replaced SBAC,PR
2017-03-20,remove,SBAC,,REIT conversion,PR
2017-04-24,add,WYNN,,replaced TRIP,PR
2017-04-24,remove,TRIP,,replaced by WYNN,PR
2017-06-19,add,MELI,,replaced YHOO,secondary
2017-06-19,remove,YHOO,,Yahoo/Verizon deal (became Altaba),secondary
2017-10-23,add,ALGN,,replaced MAT,PR
2017-10-23,remove,MAT,,Mattel removed,PR
2017-12-18,add,ASML,,annual reconstitution 2017,PR
2017-12-18,add,CDNS,,annual reconstitution 2017,PR
2017-12-18,add,SNPS,,annual reconstitution 2017,PR
2017-12-18,add,TTWO,,annual reconstitution 2017,PR
2017-12-18,add,WDAY,,annual reconstitution 2017,PR
2017-12-18,remove,AKAM,,annual reconstitution 2017,PR
2017-12-18,remove,DISCA,,annual reconstitution 2017 (DISCA+DISCK company-level),PR
2017-12-18,remove,NCLH,,annual reconstitution 2017,PR
2017-12-18,remove,TSCO,,annual reconstitution 2017,PR
