date,ticker,in_index,yf_ticker
2009-12-31,AAPL,1,AAPL
2009-12-31,ADBE,1,ADBE
2009-12-31,ADP,1,ADP
2009-12-31,ADSK,1,ADSK
2009-12-31,ALTR,1,ALTR
2009-12-31,AMAT,1,AMAT
2009-12-31,AMGN,1,AMGN
2009-12-31,AMZN,1,AMZN
2009-12-31,APOL,1,APOL
2009-12-31,ATVI,1,ATVI
2009-12-31,BBBY,1,BBBY
2009-12-31,BIDU,1,BIDU
2009-12-31,BIIB,1,BIIB
2009-12-31,BMC,1,BMC
2009-12-31,BRCM,1,BRCM
2009-12-31,CA,1,CA
2009-12-31,CELG,1,CELG
2009-12-31,CEPH,1,CEPH
2009-12-31,CERN,1,CERN
2009-12-31,CHKP,1,CHKP
2009-12-31,CHRW,1,CHRW
2009-12-31,CMCSA,1,CMCSA
2009-12-31,COST,1,COST
2009-12-31,CSCO,1,CSCO
2009-12-31,CTAS,1,CTAS
2009-12-31,CTSH,1,CTSH
2009-12-31,CTXS,1,CTXS
2009-12-31,DELL,1,DELL
2009-12-31,DISH,1,DISH
2009-12-31,DTV,1,DTV
2009-12-31,EA,1,EA
2009-12-31,EBAY,1,EBAY
2009-12-31,ESRX,1,ESRX
2009-12-31,EXPD,1,EXPD
2009-12-31,EXPE,1,EXPE
2009-12-31,FAST,1,FAST
2009-12-31,FB,1,META
2009-12-31,FISV,1,FISV
2009-12-31,FLEX,1,FLEX
2009-12-31,FLIR,1,FLIR
2009-12-31,FSLR,1,FSLR
2009-12-31,FWLT,1,FWLT
2009-12-31,GENZ,1,GENZ
2009-12-31,GILD,1,GILD
2009-12-31,GOOG,1,GOOGL
2009-12-31,GRMN,1,GRMN
2009-12-31,HOLX,1,HOLX
2009-12-31,HSIC,1,HSIC
2009-12-31,ILMN,1,ILMN
2009-12-31,INTC,1,INTC
2009-12-31,INTU,1,INTU
2009-12-31,ISRG,1,ISRG
2009-12-31,JBHT,1,JBHT
2009-12-31,JOYG,1,JOYG
2009-12-31,KLAC,1,KLAC
2009-12-31,LIFE,1,LIFE
2009-12-31,LLTC,1,LLTC
2009-12-31,LOGI,1,LOGI
2009-12-31,LRCX,1,LRCX
2009-12-31,MAT,1,MAT
2009-12-31,MCHP,1,MCHP
2009-12-31,MICC,1,MICC
2009-12-31,MRVL,1,MRVL
2009-12-31,MSFT,1,MSFT
2009-12-31,MWW,1,MWW
2009-12-31,MXIM,1,MXIM
2009-12-31,MYL,1,MYL
2009-12-31,NIHD,1,NIHD
2009-12-31,NTAP,1,NTAP
2009-12-31,NVDA,1,NVDA
2009-12-31,NWSA,1,FOXA
2009-12-31,ORCL,1,ORCL
2009-12-31,ORLY,1,ORLY
2009-12-31,PAYX,1,PAYX
2009-12-31,PCAR,1,PCAR
2009-12-31,PCLN,1,BKNG
2009-12-31,PDCO,1,PDCO
2009-12-31,QCOM,1,QCOM
2009-12-31,QGEN,1,QGEN
2009-12-31,QRTEA,1,QRTEA
2009-12-31,RIMM,1,RIMM
2009-12-31,ROST,1,ROST
2009-12-31,SBUX,1,SBUX
2009-12-31,SHLD,1,SHLD
2009-12-31,SIAL,1,SIAL
2009-12-31,SNDK,1,SNDK
2009-12-31,SPLS,1,SPLS
2009-12-31,SRCL,1,SRCL
2009-12-31,SYMC,1,NLOK
2009-12-31,URBN,1,URBN
2009-12-31,VIAB,1,VIAB
2009-12-31,VMED,1,VMED
2009-12-31,VOD,1,VOD
2009-12-31,VRSN,1,VRSN
2009-12-31,VRTX,1,VRTX
2009-12-31,WCRX,1,WCRX
2009-12-31,WYNN,1,WYNN
2009-12-31,XLNX,1,XLNX
